Numéro Distributeur;Nom Distributeur;ZONNIG;GeoCode;GeoAddress
44946;Barakissa Shop;ZONE 2;5.4196132,-4.0123978;A1, Abidjan, Côte d'Ivoire
39076;Koné Yaya;ZONE 2;5.4454547,-4.0497589;A1, Abidjan, Côte d'Ivoire
58501;Ivoire services;ZONE 2;5.4296132,-4.0223978;A1, Abidjan, Côte d'Ivoire
57959;Ets DAS;ZONE 2;5.4296132,-4.0223978;A1, Abidjan, Côte d'Ivoire
25541;Kone Vazoumana;ZONE 2;5.4391247,-4.0398224;A1, Abidjan, Côte d'Ivoire
41782;Fmv;ZONE 3;5.4428999,-4.0805659;CWVC+86J, Abidjan, Côte d'Ivoire
57497;Alwalid;ZONE 3;5.4391247,-4.0398224;A1, Abidjan, Côte d'Ivoire
57957;Ets Dantie;ZONE 2;5.4391247,-4.0398224;A1, Abidjan, Côte d'Ivoire
57960;Yaro Electronique;ZONE 3;5.4472058,-4.0719409;Unnamed Road, Abidjan, Côte d'Ivoire
39048;SG Groupe;ZONE 1;5.4092334,-3.9860769;M 2, Abidjan, Côte d'Ivoire
44897;Sodinap;ZONE 1;5.4092334,-3.9860769;M 2, Abidjan, Côte d'Ivoire
44768;Toure Moustapha_sog;ZONE 3;5.4414998,-4.0445583;Unnamed Road, Abidjan, Côte d'Ivoire
59155;Koffi komenan Abdoulaye;ZONE 3;5.4393316,-4.0767324;13 bp 2231 13, Abidjan, Côte d'Ivoire
39075;Sylla Aliou;ZONE 1;5.4092334,-3.9860769;M 2, Abidjan, Côte d'Ivoire
54844;Yougone;ZONE 2;5.4334524,-4.0275609;Contre Allée, Abidjan, Côte d'Ivoire
41795;Horeb service;ZONE 3;5.4308758,-4.0709827;Unnamed Road, Abidjan, Côte d'Ivoire
